Consumption DK areas in MWh;;;
Data was last updated 12-01-2016;;;
;DK1;DK2;DK
01/01/2014;47199;36638;83837
02/01/2014;56829;42876;99705
03/01/2014;56546;41969;98515
04/01/2014;50970;38961;89931
05/01/2014;50736;37385;88121
06/01/2014;62881;43841;106722
07/01/2014;62765;43909;106674
08/01/2014;63479;42409;105888
09/01/2014;64966;44144;109110
10/01/2014;61991;44597;106588
11/01/2014;53105;40891;93996
12/01/2014;52249;40001;92250
13/01/2014;64863;45528;110391
14/01/2014;64625;43349;107974
15/01/2014;63887;43777;107664
16/01/2014;66220;45961;112181
17/01/2014;63562;45099;108661
18/01/2014;56071;42408;98479
19/01/2014;56918;43689;100607
20/01/2014;68286;48141;116427
21/01/2014;68463;46078;114541
22/01/2014;68650;46902;115552
23/01/2014;70537;48319;118856
24/01/2014;68104;47197;115301
25/01/2014;59835;44129;103964
26/01/2014;60259;44929;105188
27/01/2014;69368;48542;117910
28/01/2014;70054;47189;117243
29/01/2014;71498;48250;119748
30/01/2014;70923;48091;119014
31/01/2014;67871;46071;113942
01/02/2014;58254;42322;100576
02/02/2014;53378;38912;92290
03/02/2014;64240;43942;108182
04/02/2014;66282;44067;110349
05/02/2014;65471;43343;108814
06/02/2014;66276;44047;110323
07/02/2014;64366;44739;109105
08/02/2014;55588;39895;95483
09/02/2014;54455;39070;93525
10/02/2014;63437;41733;105170
11/02/2014;64332;44622;108954
12/02/2014;64059;44911;108970
13/02/2014;63867;44453;108320
14/02/2014;60921;41707;102628
15/02/2014;55696;40507;96203
16/02/2014;53990;39852;93842
17/02/2014;62122;42083;104205
18/02/2014;63492;42294;105786
19/02/2014;64372;41782;106154
20/02/2014;64262;41706;105968
21/02/2014;60918;41176;102094
22/02/2014;54842;38293;93135
23/02/2014;53127;37224;90351
24/02/2014;61303;40557;101860
25/02/2014;60751;40450;101201
26/02/2014;62000;39914;101914
27/02/2014;63125;40617;103742
28/02/2014;60377;39673;100050
01/03/2014;52435;36468;88903
02/03/2014;51546;36565;88111
03/03/2014;61891;41154;103045
04/03/2014;62229;40511;102740
05/03/2014;63232;40997;104229
06/03/2014;62832;40465;103297
07/03/2014;61473;40301;101774
08/03/2014;50368;35278;85646
09/03/2014;49607;33921;83528
10/03/2014;58888;37399;96287
11/03/2014;59880;37932;97812
12/03/2014;59439;38953;98392
13/03/2014;59958;38449;98407
14/03/2014;58830;38156;96986
15/03/2014;53505;36430;89935
16/03/2014;51935;35430;87365
17/03/2014;61163;39789;100952
18/03/2014;61028;39759;100787
19/03/2014;61675;40040;101715
20/03/2014;61118;38723;99841
21/03/2014;58365;38156;96521
22/03/2014;49137;34533;83670
23/03/2014;48463;33743;82206
24/03/2014;58949;38041;96990
25/03/2014;59223;39254;98477
26/03/2014;61249;39920;101169
27/03/2014;60836;39804;100640
28/03/2014;58319;38088;96407
29/03/2014;48772;33726;82498
30/03/2014;44898;31796;76694
31/03/2014;58482;37073;95555
01/04/2014;60772;37651;98423
02/04/2014;60354;38446;98800
03/04/2014;59457;38190;97647
