Elspot Prices in DKK/MWh;;;;;;;;;;;;;;;;;
Data was last updated 12-01-2016;;;;;;;;;;;;;;;;;
;SYS;SE1;SE2;SE3;SE4;FI;DK1;DK2;Oslo;Kr.sand;Bergen;Molde;Tr.heim;Tromsø;EE;LV;LT
01/01/2014;210,73;212,25;212,25;212,25;212,25;214,22;163,10;174,36;213,36;213,36;213,36;212,25;212,25;212,25;228,02;238,35;238,35
02/01/2014;222,96;223,68;223,68;223,68;223,68;260,62;172,17;180,27;223,68;223,68;223,68;223,68;223,68;223,68;260,62;276,72;276,72
03/01/2014;218,54;218,22;218,22;218,22;218,22;270,33;202,07;203,63;219,00;219,00;219,00;218,22;218,22;218,22;270,33;305,93;305,93
04/01/2014;208,56;208,25;208,25;208,25;208,25;232,88;166,07;166,30;210,09;210,09;210,09;208,25;208,25;208,25;234,59;293,38;293,38
05/01/2014;216,65;217,86;217,86;217,86;218,13;227,32;199,80;201,12;215,99;215,99;215,99;217,86;217,86;217,86;232,36;302,37;302,37
06/01/2014;210,29;211,72;211,72;211,72;211,72;226,26;164,91;178,44;211,72;211,72;211,72;211,72;211,72;211,72;244,99;323,20;323,20
07/01/2014;217,49;217,03;217,03;217,03;217,03;303,13;171,20;172,12;216,81;216,81;216,81;217,03;217,03;217,03;303,13;326,81;326,81
08/01/2014;219,03;217,69;217,69;217,69;217,69;267,75;198,44;198,75;218,81;218,81;218,81;217,69;217,69;217,69;286,39;294,96;294,96
09/01/2014;221,67;219,88;219,88;219,88;219,88;282,66;211,08;213,92;220,25;220,25;220,25;219,88;219,88;219,88;283,69;283,69;283,69
10/01/2014;225,07;222,22;222,22;222,22;222,22;312,17;189,69;189,68;222,95;222,95;222,83;222,22;222,22;222,22;312,17;313,67;313,67
11/01/2014;222,45;221,97;221,97;221,97;221,97;259,84;209,35;211,43;221,42;221,42;221,14;221,97;221,97;221,97;259,84;305,68;305,68
12/01/2014;226,81;231,06;231,06;231,06;231,06;245,04;144,74;148,15;223,93;223,93;221,82;231,06;231,06;231,06;245,04;247,99;247,99
13/01/2014;292,19;280,67;280,67;299,72;299,72;350,70;288,87;299,72;298,64;289,94;242,11;280,67;280,67;280,67;350,70;351,80;351,80
14/01/2014;310,81;269,18;269,18;354,35;354,35;403,70;354,35;354,35;353,65;353,65;239,97;269,18;269,18;269,18;403,70;404,27;404,27
15/01/2014;310,39;303,44;303,44;303,44;303,44;370,64;302,92;303,44;302,42;302,42;271,67;303,44;303,44;303,44;380,69;380,69;380,69
16/01/2014;242,76;236,84;236,84;236,84;236,84;346,88;231,81;233,09;236,72;235,56;236,42;236,84;236,84;236,84;351,26;352,68;352,68
17/01/2014;255,23;241,72;241,72;241,72;241,72;345,23;235,43;235,75;241,41;241,41;241,41;241,72;241,72;241,72;347,45;347,45;347,45
18/01/2014;230,55;228,65;228,65;228,65;228,65;268,10;218,40;223,93;228,65;228,35;228,65;228,65;228,65;228,65;268,10;272,52;272,52
19/01/2014;229,09;229,52;229,52;229,52;229,52;265,77;140,03;180,47;229,52;228,70;229,52;229,52;229,52;229,52;285,98;287,01;287,01
20/01/2014;258,09;243,20;243,20;243,20;243,20;342,60;227,09;229,56;243,20;243,17;243,20;243,20;243,20;243,20;342,60;344,14;344,14
21/01/2014;314,31;315,18;315,18;315,18;315,18;354,71;315,18;315,18;315,18;315,18;252,08;315,18;315,18;315,18;354,71;357,74;359,22
22/01/2014;316,57;314,59;314,59;317,08;317,08;346,91;311,96;317,08;311,96;311,96;281,99;314,59;314,59;314,59;346,91;346,91;346,91
23/01/2014;301,42;288,23;288,23;289,67;289,67;347,64;274,93;289,52;277,10;275,50;273,41;288,23;288,23;288,23;347,64;348,72;348,72
24/01/2014;309,80;291,12;291,12;291,12;291,12;352,46;289,71;290,65;290,18;290,18;278,36;291,12;291,12;291,12;352,46;354,88;354,88
25/01/2014;242,65;241,44;241,44;241,44;241,44;256,13;233,33;241,44;241,44;241,43;241,43;241,44;241,44;241,44;287,31;309,62;309,62
