Wind power DK in MWh;;
Data was last updated 11-01-2018;;
;DK1;DK2
01/01/2016;13265;1542
02/01/2016;65571;17460
03/01/2016;72334;18420
04/01/2016;64400;16179
05/01/2016;50214;11896
06/01/2016;33376;8778
07/01/2016;52316;14033
08/01/2016;37355;12826
09/01/2016;19486;3987
10/01/2016;40932;9883
11/01/2016;12909;2232
12/01/2016;21187;2583
13/01/2016;12790;3362
14/01/2016;19330;2884
15/01/2016;10424;3256
16/01/2016;8271;272
17/01/2016;6268;2420
18/01/2016;23374;3106
19/01/2016;23835;11396
20/01/2016;4348;1753
21/01/2016;8430;1665
22/01/2016;28545;6465
23/01/2016;15097;2916
24/01/2016;28100;6279
25/01/2016;33779;8585
26/01/2016;62647;15438
27/01/2016;71473;19875
28/01/2016;66110;18563
29/01/2016;72917;19655
30/01/2016;59512;15919
31/01/2016;52037;16091
01/02/2016;51331;13405
02/02/2016;71868;21803
03/02/2016;62167;19102
04/02/2016;44191;13868
05/02/2016;26726;7684
06/02/2016;57843;13049
07/02/2016;61521;13740
08/02/2016;65312;18529
09/02/2016;35520;14383
10/02/2016;4778;9175
11/02/2016;4214;606
12/02/2016;5901;458
13/02/2016;6966;2526
14/02/2016;33588;11662
15/02/2016;22097;9854
16/02/2016;13758;818
17/02/2016;40600;7796
18/02/2016;10905;1228
19/02/2016;17182;1895
20/02/2016;54307;15827
21/02/2016;40516;11999
22/02/2016;49300;15790
23/02/2016;48189;15696
24/02/2016;43264;13618
25/02/2016;18102;5569
26/02/2016;19677;4326
27/02/2016;6369;205
28/02/2016;2568;77
29/02/2016;1773;1209
01/03/2016;41810;5188
02/03/2016;25255;11343
03/03/2016;10185;2844
04/03/2016;13060;3742
05/03/2016;32213;8845
06/03/2016;7679;1422
07/03/2016;3282;4616
08/03/2016;3763;2585
09/03/2016;20426;4049
10/03/2016;7668;4712
11/03/2016;946;2102
12/03/2016;1472;138
13/03/2016;6131;100
14/03/2016;6893;801
15/03/2016;12078;3362
16/03/2016;4128;681
17/03/2016;16219;3495
18/03/2016;7528;1451
19/03/2016;20477;4229
20/03/2016;33954;3775
21/03/2016;46323;10855
22/03/2016;21891;2549
23/03/2016;18823;3521
24/03/2016;11277;1902
25/03/2016;22360;3556
26/03/2016;39191;5508
27/03/2016;46653;10886
28/03/2016;60032;13887
29/03/2016;47398;7153
30/03/2016;15025;8367
31/03/2016;27778;4997
01/04/2016;10867;2497
02/04/2016;19475;3464
03/04/2016;10525;1610
04/04/2016;15500;1784
05/04/2016;4807;1626
06/04/2016;34393;10820
07/04/2016;39052;16028
08/04/2016;28606;8528
09/04/2016;6536;823
10/04/2016;19482;3366
11/04/2016;21986;8816
12/04/2016;19073;7050
13/04/2016;5010;2185
14/04/2016;2997;1044
15/04/2016;10848;3636
16/04/2016;24239;7543
17/04/2016;62178;17933
18/04/2016;61664;14641
19/04/2016;72996;19460
20/04/2016;39609;10830
21/04/2016;46213;9243
22/04/2016;36444;8567
23/04/2016;17530;3123
24/04/2016;11661;1824
25/04/2016;11862;5283
26/04/2016;37833;7214
27/04/2016;39565;2321
28/04/2016;11951;3448
29/04/2016;35274;8047
30/04/2016;25396;2749
01/05/2016;2058;1513
02/05/2016;20752;2422
03/05/2016;22180;6967
04/05/2016;6195;3005
05/05/2016;4641;334
06/05/2016;21129;6079
07/05/2016;35714;9092
08/05/2016;30868;8119
09/05/2016;23746;7217
10/05/2016;14565;4570
11/05/2016;21083;8617
12/05/2016;13223;10999
13/05/2016;19061;1816
14/05/2016;30098;6696
15/05/2016;36629;8796
16/05/2016;41626;15537
17/05/2016;41759;8427
18/05/2016;13961;1910
19/05/2016;2682;599
20/05/2016;22439;4790
21/05/2016;17161;2350
22/05/2016;19223;8042
23/05/2016;5782;1908
24/05/2016;16366;4871
25/05/2016;28305;1124
26/05/2016;7949;1296
27/05/2016;4255;388
28/05/2016;7557;2327
29/05/2016;16314;6871
30/05/2016;38315;16108
31/05/2016;27450;10527
01/06/2016;17562;9176
02/06/2016;17236;7826
03/06/2016;7550;3687
04/06/2016;3256;435
05/06/2016;5017;1396
06/06/2016;12341;6062
07/06/2016;10135;2516
08/06/2016;27075;6604
09/06/2016;17644;2262
10/06/2016;27530;9270
11/06/2016;6520;1153
12/06/2016;8050;2862
13/06/2016;27790;8574
14/06/2016;26635;3239
15/06/2016;4096;709
16/06/2016;733;332
17/06/2016;8628;2406
18/06/2016;39499;8766
19/06/2016;47466;7519
20/06/2016;39932;4495
21/06/2016;10365;3240
22/06/2016;7751;1598
23/06/2016;8698;3009
24/06/2016;10234;1947
25/06/2016;7954;3696
26/06/2016;27499;6758
27/06/2016;34764;4449
28/06/2016;8750;1081
29/06/2016;16781;3342
30/06/2016;23786;3246
01/07/2016;27119;8347
02/07/2016;39233;6193
03/07/2016;33474;7981
04/07/2016;18481;5257
05/07/2016;11350;2973
06/07/2016;54695;16485
07/07/2016;36250;8246
08/07/2016;12334;4320
09/07/2016;25187;8371
10/07/2016;22373;4036
11/07/2016;36501;7399
12/07/2016;30109;8800
13/07/2016;25166;1121
14/07/2016;27271;4632
15/07/2016;41728;12838
16/07/2016;30587;6565
17/07/2016;17967;3303
18/07/2016;15409;3735
19/07/2016;3775;1266
20/07/2016;7503;1557
21/07/2016;12635;5098
22/07/2016;4385;2857
23/07/2016;1994;690
24/07/2016;2246;1096
25/07/2016;8682;870
26/07/2016;11002;1885
27/07/2016;14952;1432
28/07/2016;6441;1359
29/07/2016;4041;1620
30/07/2016;12166;3609
31/07/2016;10935;856
01/08/2016;26381;4588
02/08/2016;8120;2048
03/08/2016;28666;7514
04/08/2016;41792;7929
05/08/2016;21604;4138
06/08/2016;47161;9180
07/08/2016;39408;8302
08/08/2016;59490;14098
09/08/2016;57579;13317
10/08/2016;45567;11585
11/08/2016;18931;7439
12/08/2016;27273;5187
13/08/2016;50557;11286
14/08/2016;31721;6455
15/08/2016;15339;3210
16/08/2016;5919;1586
17/08/2016;5584;2033
18/08/2016;16189;3000
19/08/2016;2447;617
20/08/2016;15340;2084
21/08/2016;17327;1393
22/08/2016;14974;4686
23/08/2016;4859;2989
24/08/2016;9604;1806
25/08/2016;13923;6197
26/08/2016;27261;6249
27/08/2016;8771;944
28/08/2016;20793;5788
