Wind power DK prognosis in MWh;;;
Data was last updated 13-04-2019;;;
;Hours;DK1;DK2
01/01/2019;00 - 01;3510;978
01/01/2019;01 - 02;3535;1017
01/01/2019;02 - 03;3421;1015
01/01/2019;03 - 04;3213;991
01/01/2019;04 - 05;3222;984
01/01/2019;05 - 06;3306;1032
01/01/2019;06 - 07;3290;1057
01/01/2019;07 - 08;3157;1049
01/01/2019;08 - 09;2953;1012
01/01/2019;09 - 10;2848;990
01/01/2019;10 - 11;2937;1025
01/01/2019;11 - 12;2957;998
01/01/2019;12 - 13;2939;994
01/01/2019;13 - 14;2909;969
01/01/2019;14 - 15;2930;943
01/01/2019;15 - 16;2985;963
01/01/2019;16 - 17;3069;980
01/01/2019;17 - 18;3199;1005
01/01/2019;18 - 19;3318;1040
01/01/2019;19 - 20;3502;1077
01/01/2019;20 - 21;3496;1067
01/01/2019;21 - 22;3370;1032
01/01/2019;22 - 23;3370;1024
01/01/2019;23 - 00;3429;1040
02/01/2019;00 - 01;2833;1005
02/01/2019;01 - 02;2876;1014
02/01/2019;02 - 03;2795;981
02/01/2019;03 - 04;2661;936
02/01/2019;04 - 05;3158;976
02/01/2019;05 - 06;3301;1016
02/01/2019;06 - 07;3288;1045
02/01/2019;07 - 08;3159;1039
02/01/2019;08 - 09;2862;988
02/01/2019;09 - 10;2530;945
02/01/2019;10 - 11;2402;976
02/01/2019;11 - 12;2252;997
02/01/2019;12 - 13;2096;1010
02/01/2019;13 - 14;1858;976
02/01/2019;14 - 15;1575;942
02/01/2019;15 - 16;1339;907
02/01/2019;16 - 17;1185;849
02/01/2019;17 - 18;1083;747
02/01/2019;18 - 19;1006;625
02/01/2019;19 - 20;953;539
02/01/2019;20 - 21;886;472
02/01/2019;21 - 22;784;423
02/01/2019;22 - 23;845;422
02/01/2019;23 - 00;854;420
03/01/2019;00 - 01;759;389
03/01/2019;01 - 02;722;414
03/01/2019;02 - 03;740;415
03/01/2019;03 - 04;739;432
03/01/2019;04 - 05;763;428
03/01/2019;05 - 06;794;414
03/01/2019;06 - 07;853;447
03/01/2019;07 - 08;884;478
03/01/2019;08 - 09;861;461
03/01/2019;09 - 10;844;430
03/01/2019;10 - 11;723;381
03/01/2019;11 - 12;601;316
03/01/2019;12 - 13;528;278
03/01/2019;13 - 14;442;241
03/01/2019;14 - 15;385;174
03/01/2019;15 - 16;383;108
03/01/2019;16 - 17;479;78
03/01/2019;17 - 18;663;57
03/01/2019;18 - 19;875;53
03/01/2019;19 - 20;1102;89
03/01/2019;20 - 21;1328;147
03/01/2019;21 - 22;1494;200
03/01/2019;22 - 23;1740;208
03/01/2019;23 - 00;1984;244
04/01/2019;00 - 01;2091;331
04/01/2019;01 - 02;2349;393
04/01/2019;02 - 03;2450;496
04/01/2019;03 - 04;2435;580
04/01/2019;04 - 05;2409;610
04/01/2019;05 - 06;2410;633
04/01/2019;06 - 07;2367;687
04/01/2019;07 - 08;2288;699
04/01/2019;08 - 09;2274;654
04/01/2019;09 - 10;2264;630
04/01/2019;10 - 11;2368;604
04/01/2019;11 - 12;2407;554
04/01/2019;12 - 13;2552;528
04/01/2019;13 - 14;2626;499
04/01/2019;14 - 15;2787;465
04/01/2019;15 - 16;2903;485
04/01/2019;16 - 17;2994;542
04/01/2019;17 - 18;3010;593
04/01/2019;18 - 19;2965;667
04/01/2019;19 - 20;3016;707
04/01/2019;20 - 21;2944;674
04/01/2019;21 - 22;2819;631
04/01/2019;22 - 23;2824;644
04/01/2019;23 - 00;2841;645
05/01/2019;00 - 01;2774;563
05/01/2019;01 - 02;2690;569
05/01/2019;02 - 03;2495;545
05/01/2019;03 - 04;2230;515
05/01/2019;04 - 05;2145;470
05/01/2019;05 - 06;2105;454
05/01/2019;06 - 07;1962;499
