Elspot Prices in DKK/MWh;;;;;;;;;;;;;;;;;;
Preliminary prices in purple;;;;;;;;;;;;;;;;;;
Data was last updated 12-11-2015;;;;;;;;;;;;;;;;;;
;SYS;SE1;SE2;SE3;SE4;FI;DK1;DK2;Oslo;Kr.sand;Bergen;Molde;Tr.heim;Tromsø;EE;ELE;LV;LT
01/01/2013;236,72;227,10;227,10;227,10;227,10;227,10;195,62;195,78;245,26;245,26;245,26;244,05;244,05;244,05;235,26;235,26;;195,94
02/01/2013;273,58;274,91;274,91;274,91;274,91;276,66;247,39;247,39;275,93;271,11;275,93;274,91;274,91;274,91;298,37;298,37;;254,56
03/01/2013;261,83;260,99;260,99;260,99;260,99;261,28;230,70;233,31;264,88;264,22;264,88;261,08;261,08;261,08;305,09;305,09;;341,37
04/01/2013;259,63;255,85;255,85;255,85;255,85;257,59;225,26;225,26;264,04;263,93;264,04;257,08;257,08;257,08;306,41;306,41;;305,09
05/01/2013;263,83;264,42;264,42;264,42;267,56;264,42;263,72;264,69;264,52;263,12;263,12;264,42;264,42;264,42;280,44;280,44;;291,79
06/01/2013;259,75;259,86;259,86;259,86;260,57;259,86;258,65;260,83;259,86;259,29;259,29;259,86;259,86;259,86;277,25;277,25;;270,64
07/01/2013;287,31;288,78;288,78;288,78;318,28;293,45;366,18;367,43;286,24;273,35;278,08;288,78;288,78;288,78;298,04;298,04;;325,68
08/01/2013;302,13;298,97;298,97;298,97;334,27;298,97;346,00;346,00;298,97;281,30;298,97;298,97;298,97;298,97;277,19;277,19;;324,03
09/01/2013;292,82;296,60;296,60;296,60;296,60;296,60;296,60;296,60;296,64;283,64;296,64;296,60;296,60;296,60;297,81;297,81;;287,77
10/01/2013;302,77;306,56;306,56;306,56;306,56;306,56;306,30;307,50;309,14;287,65;309,14;306,56;306,56;306,56;302,52;302,52;;281,31
11/01/2013;311,97;316,97;316,97;320,90;320,90;327,74;320,90;320,90;322,02;289,95;322,02;316,97;316,97;316,97;323,02;323,02;;283,51
12/01/2013;301,36;304,17;304,17;304,37;307,34;305,08;310,38;310,38;304,49;290,61;304,49;304,17;304,17;295,38;305,08;305,08;;294,59
13/01/2013;293,68;294,34;294,34;294,90;294,90;294,77;294,90;294,90;295,44;290,29;295,44;294,34;294,34;291,27;298,71;298,71;;339,26
14/01/2013;345,44;347,54;347,54;382,06;382,06;347,30;382,86;382,90;385,42;295,14;385,42;347,54;347,54;347,54;340,16;340,16;;353,49
15/01/2013;356,98;376,37;376,37;376,37;376,37;376,37;376,37;376,37;377,24;299,10;377,24;376,37;376,37;376,37;369,71;369,71;;345,62
16/01/2013;381,39;382,96;382,96;386,77;387,28;382,96;387,28;387,28;387,41;363,58;387,41;382,96;382,96;379,72;371,85;371,85;;376,59
17/01/2013;398,73;399,69;399,69;399,69;399,69;399,69;399,69;399,69;399,69;391,51;399,69;399,69;399,69;399,69;366,99;367,04;;364,04
18/01/2013;356,54;357,54;357,54;357,54;357,54;358,40;357,54;357,54;357,65;345,25;357,65;357,54;357,54;353,73;344,30;344,30;;384,84
19/01/2013;299,69;298,61;298,61;298,61;298,61;299,72;288,04;288,04;302,45;301,62;302,45;298,61;298,61;295,29;299,72;299,72;;370,87
20/01/2013;286,67;286,07;286,07;286,07;286,07;286,12;272,23;273,19;289,69;288,64;289,69;286,07;286,07;286,07;296,76;296,76;;325,23
21/01/2013;307,66;309,39;309,39;309,39;309,39;309,39;277,86;289,72;312,54;299,98;312,54;309,39;309,39;308,42;306,50;318,09;;351,01
22/01/2013;350,35;347,18;347,18;363,64;363,64;346,42;356,32;357,00;365,19;362,83;365,19;347,18;347,18;347,18;338,67;345,01;;333,54
23/01/2013;404,79;401,03;401,03;428,37;428,37;400,29;428,37;428,37;427,49;394,54;427,49;401,03;401,03;400,23;397,13;420,60;;461,12
