Elspot Prices in DKK/MWh;;;;;;;;;;;;;;;;;;
Data was last updated 10-01-2018;;;;;;;;;;;;;;;;;;
;SYS;SE1;SE2;SE3;SE4;FI;DK1;DK2;Oslo;Kr.sand;Bergen;Molde;Tr.heim;Tromsø;EE;LV;LT;FRE
01/01/2016;123,90;123,78;123,78;124,00;124,00;126,26;124,00;124,00;124,00;124,00;124,00;123,78;123,78;123,78;126,26;210,11;210,11;
02/01/2016;117,11;116,51;116,51;116,51;116,51;174,91;106,91;116,51;116,51;114,88;116,51;116,60;116,60;116,60;174,91;236,85;236,85;
03/01/2016;125,35;126,53;126,53;126,53;126,53;144,67;87,83;126,53;126,53;119,76;126,53;127,03;127,03;127,03;144,67;270,70;270,70;144,67
04/01/2016;143,31;139,46;139,46;142,23;142,23;216,34;126,25;142,23;142,23;138,54;139,53;139,46;139,46;139,46;216,34;334,48;334,48;216,34
05/01/2016;170,74;158,05;158,05;158,05;158,05;245,52;147,48;158,05;158,05;147,48;147,48;158,05;158,05;152,47;245,52;345,80;345,80;245,52
06/01/2016;224,52;214,10;214,10;214,10;214,10;272,15;192,17;214,10;214,10;192,17;192,17;214,10;214,10;214,10;272,15;321,48;321,48;272,15
07/01/2016;290,51;372,90;372,90;372,90;372,90;432,02;178,92;372,90;359,29;178,92;178,92;372,90;372,90;372,90;432,02;440,42;440,42;432,02
08/01/2016;244,32;227,38;227,38;227,38;227,38;396,27;191,07;227,38;221,10;200,59;201,29;227,38;227,38;227,38;396,27;432,22;432,22;396,27
09/01/2016;198,69;184,89;184,89;184,89;184,89;253,89;182,12;184,89;182,12;182,12;182,12;184,89;184,89;183,66;253,89;622,66;622,66;253,89
10/01/2016;164,88;160,44;160,44;160,44;160,44;218,46;158,04;160,50;160,44;160,21;160,21;160,44;160,44;160,31;218,46;342,85;342,85;218,46
11/01/2016;249,01;184,17;184,17;242,30;244,09;314,27;242,30;244,09;242,30;242,30;242,30;184,17;184,17;183,78;314,27;652,17;652,17;
12/01/2016;233,70;181,96;181,96;228,17;228,26;255,60;220,34;228,49;220,34;220,34;220,34;181,96;181,96;181,96;255,60;494,85;494,85;
13/01/2016;250,59;228,99;228,99;257,18;257,18;274,75;218,13;257,18;223,98;217,23;217,23;228,99;228,99;228,99;274,75;560,35;594,21;
14/01/2016;321,09;194,40;194,40;416,78;416,78;423,35;225,02;416,78;416,78;225,02;225,02;193,68;193,68;193,68;406,26;421,10;421,10;
15/01/2016;312,76;192,85;192,85;434,56;434,56;451,83;252,46;434,56;434,54;254,35;254,35;192,85;192,85;192,85;451,83;475,06;485,22;
16/01/2016;201,07;185,56;185,56;208,79;208,79;222,66;207,47;208,79;208,79;207,47;207,47;185,56;185,56;171,97;222,66;289,84;289,84;222,66
17/01/2016;189,91;181,05;181,05;197,28;197,43;206,00;196,97;197,43;197,28;197,28;197,28;181,05;181,05;178,07;206,00;272,98;272,98;206,00
18/01/2016;367,62;322,43;322,43;322,43;322,43;422,92;282,17;322,43;322,43;283,04;283,04;320,27;320,27;319,20;422,92;435,19;435,19;
19/01/2016;413,16;426,54;426,54;426,54;426,54;441,81;327,08;426,54;353,03;341,08;341,08;426,54;426,54;426,54;417,84;423,96;423,96;
20/01/2016;375,94;380,01;380,01;380,01;380,01;395,49;363,04;380,01;379,60;363,04;363,04;380,01;380,01;320,36;389,45;389,75;389,75;
21/01/2016;604,35;657,46;657,46;657,46;657,46;685,93;387,04;657,46;644,72;387,04;387,04;657,46;657,46;657,46;681,52;683,66;683,66;
22/01/2016;279,82;312,35;312,35;312,35;312,35;399,15;207,42;312,35;288,16;207,42;207,42;312,35;312,35;312,35;399,15;412,96;412,96;
23/01/2016;183,42;178,01;178,01;178,01;178,06;227,63;178,01;178,06;178,01;178,01;178,01;178,01;178,01;177,25;227,63;277,00;277,00;227,63
24/01/2016;168,29;166,16;166,16;166,16;166,16;184,63;166,16;166,16;166,16;166,16;166,16;166,16;166,16;162,58;184,63;260,50;260,50;184,63
