Elspot Prices in DKK/MWh;;;;;;;;;;;;;;;;;
Data was last updated 31-12-2018;;;;;;;;;;;;;;;;;
;SYS;SE1;SE2;SE3;SE4;FI;DK1;DK2;Oslo;Kr.sand;Bergen;Molde;Tr.heim;Tromsø;EE;LV;LT
01/01/2018;191,80;182,08;182,08;182,08;182,08;182,08;163,07;178,45;193,84;193,84;193,84;194,01;194,01;194,01;182,08;182,08;182,08
02/01/2018;237,83;235,23;235,23;235,23;235,34;235,23;228,30;240,35;236,66;236,66;236,66;236,55;236,55;236,55;235,23;235,34;235,34
03/01/2018;212,74;214,38;214,38;214,38;214,38;214,38;156,42;161,58;214,17;210,81;214,17;214,38;214,38;214,38;214,38;214,38;214,38
04/01/2018;240,28;237,93;237,93;237,99;239,07;237,99;260,16;264,70;237,99;237,99;237,99;237,93;237,93;237,93;237,99;239,07;239,07
05/01/2018;237,94;231,68;231,68;231,68;240,18;231,68;267,20;283,63;232,10;232,10;232,10;231,68;231,68;231,68;231,68;240,18;240,18
06/01/2018;234,88;231,40;231,40;231,40;233,86;231,40;257,87;258,21;231,40;231,40;231,40;231,40;231,40;230,39;231,40;233,86;233,86
07/01/2018;212,14;211,24;211,24;211,24;211,24;211,24;203,39;212,57;212,72;212,72;212,72;211,24;211,24;210,70;211,24;211,24;211,24
08/01/2018;237,88;224,87;224,87;239,55;255,05;239,55;246,55;256,93;241,58;241,58;241,58;225,82;225,82;225,82;239,55;255,05;255,05
09/01/2018;227,93;224,61;224,61;224,61;224,61;255,40;202,30;202,30;226,38;226,38;226,38;224,61;224,61;224,59;255,40;255,40;255,40
10/01/2018;298,28;298,01;298,01;298,01;298,01;299,36;300,89;300,89;297,25;297,25;297,25;297,09;297,09;297,09;299,36;299,36;299,36
11/01/2018;315,07;320,32;320,32;320,40;321,13;321,13;326,43;326,43;320,40;320,40;320,40;318,38;318,38;275,05;321,13;321,13;321,13
12/01/2018;267,75;266,42;266,42;266,42;270,89;276,92;266,42;270,89;266,42;266,42;266,42;266,42;266,42;225,82;276,92;276,92;276,92
13/01/2018;231,03;231,81;231,81;231,81;231,81;242,18;231,81;231,81;231,81;231,81;231,81;231,81;231,81;222,40;242,18;242,18;242,18
14/01/2018;221,71;221,70;221,70;221,70;224,69;221,70;216,06;219,05;221,88;221,88;221,88;221,70;221,70;219,40;221,70;226,20;226,20
15/01/2018;217,51;209,55;209,55;209,55;209,55;240,32;180,89;195,04;220,45;220,45;220,45;217,63;217,63;213,04;240,32;240,32;240,32
16/01/2018;231,47;226,75;226,75;231,38;232,32;234,70;188,37;188,37;239,28;239,28;239,28;232,86;232,86;215,85;234,70;235,64;235,64
17/01/2018;254,33;250,83;250,83;250,83;250,83;301,38;250,83;250,83;250,83;250,83;250,83;250,83;250,83;227,97;301,38;317,92;317,92
18/01/2018;276,81;266,20;266,20;266,20;266,20;315,97;266,20;266,20;266,20;266,20;266,20;266,20;266,20;266,20;315,97;317,12;317,12
19/01/2018;316,02;298,20;298,20;300,06;300,06;402,00;300,06;300,06;296,61;296,61;296,61;295,81;295,81;285,89;402,00;402,00;406,19
20/01/2018;243,47;252,83;252,83;257,28;257,28;257,28;271,44;272,66;249,57;235,03;235,03;236,39;236,39;231,04;257,59;302,39;302,39
21/01/2018;246,27;257,79;257,79;257,79;257,79;257,79;259,67;259,66;247,33;234,61;234,61;239,73;239,73;234,45;257,79;264,51;264,51
22/01/2018;316,90;299,64;299,64;299,64;299,64;423,35;294,44;299,42;294,61;292,46;292,95;298,35;298,35;237,79;423,35;423,35;423,35
23/01/2018;306,79;272,11;272,11;272,11;272,11;584,62;252,28;267,55;253,22;253,22;253,22;269,68;269,68;243,66;584,62;585,62;588,68
24/01/2018;214,57;209,72;209,72;209,72;209,72;249,35;177,13;177,34;214,46;213,30;214,15;215,57;215,57;214,51;249,35;249,35;249,35
25/01/2018;220,88;209,04;209,04;209,04;216,36;248,48;187,44;194,75;220,40;220,40;220,40;221,58;221,58;219,54;248,48;254,92;254,92
26/01/2018;254,00;241,18;241,18;241,18;304,96;313,75;254,67;305,19;241,18;241,18;241,18;241,18;241,18;223,99;313,75;313,75;313,75
27/01/2018;231,49;232,96;232,96;232,96;238,13;238,13;219,04;222,17;231,19;231,03;231,19;232,57;232,57;227,09;244,16;244,16;244,16
28/01/2018;207,47;209,28;209,28;209,28;209,28;209,28;76,33;83,40;209,44;209,44;209,44;209,44;209,44;209,44;209,82;209,82;209,82
29/01/2018;223,91;220,68;220,68;220,68;220,68;269,12;159,96;161,65;220,48;218,47;220,48;221,14;221,14;221,14;269,12;269,12;269,12
30/01/2018;242,89;240,54;240,54;240,54;240,54;271,38;218,65;218,80;239,84;239,84;239,84;239,89;239,89;233,02;271,38;271,38;271,38
31/01/2018;228,74;221,75;221,75;221,75;221,95;341,02;215,05;215,32;221,75;221,74;221,75;221,96;221,96;221,96;341,02;341,02;341,02
01/02/2018;232,13;227,28;227,28;227,28;227,73;249,29;221,74;221,74;229,12;229,12;229,12;229,51;229,51;229,51;249,29;249,29;249,29
02/02/2018;265,99;255,33;255,33;264,39;284,65;272,27;264,39;284,65;264,39;264,39;264,39;255,33;255,33;251,27;272,27;284,95;284,95
03/02/2018;253,69;255,49;255,49;255,49;261,05;255,49;255,49;261,05;255,49;255,49;255,49;255,49;255,49;242,31;255,49;261,05;261,05
04/02/2018;248,78;249,84;249,84;249,84;249,84;249,84;249,53;249,84;249,84;249,75;249,75;249,84;249,84;240,77;249,84;249,84;249,84
05/02/2018;359,08;384,87;384,87;384,87;384,87;395,14;337,28;384,87;335,44;335,44;335,44;335,44;335,44;238,77;395,14;395,14;395,14
06/02/2018;342,59;353,48;353,48;354,01;354,01;355,10;353,48;354,01;353,48;353,48;353,48;353,48;353,48;243,07;355,10;355,10;355,10
07/02/2018;331,78;338,98;338,98;340,61;342,12;350,91;338,65;342,12;337,25;337,25;337,25;337,98;337,98;243,16;350,91;351,68;351,68
08/02/2018;289,46;281,13;281,13;298,24;350,18;317,23;298,24;350,18;295,86;295,86;295,86;279,48;279,48;240,85;317,23;345,03;350,37
09/02/2018;243,06;240,07;240,07;240,15;283,46;280,52;240,15;283,46;240,15;240,15;240,15;240,07;240,07;237,88;280,52;300,90;300,90
10/02/2018;239,79;239,78;239,78;239,78;259,03;243,75;239,78;259,03;239,78;239,78;239,78;239,78;239,78;231,85;243,75;259,89;259,89
11/02/2018;219,59;221,14;221,14;221,14;221,14;221,14;85,72;159,03;221,18;221,18;221,18;221,17;221,17;221,17;221,14;226,58;226,58
12/02/2018;238,62;233,80;233,80;233,80;234,44;292,30;200,69;201,34;234,03;234,03;234,03;234,03;234,03;234,03;292,30;293,96;293,96
13/02/2018;272,50;277,25;277,25;277,25;283,54;277,30;277,25;283,54;277,25;277,25;277,25;277,25;277,25;247,77;277,30;285,81;285,81
14/02/2018;265,44;256,79;256,79;266,93;287,39;288,16;266,82;287,39;266,81;266,81;266,81;256,79;256,79;254,81;288,16;297,17;297,17
15/02/2018;245,42;243,18;243,18;243,44;243,44;262,07;228,59;228,82;243,44;243,44;243,44;243,18;243,18;243,18;262,07;267,14;267,14
16/02/2018;272,67;268,95;268,95;268,95;276,38;300,38;268,95;276,38;268,95;268,95;268,95;268,95;268,95;268,95;300,38;300,38;300,38
17/02/2018;284,30;284,55;284,55;284,55;284,70;284,55;284,70;284,70;283,20;283,20;283,20;284,55;284,55;284,55;284,55;284,70;284,70
18/02/2018;269,35;269,35;269,35;269,35;269,35;269,35;269,35;269,35;269,35;269,35;269,35;269,35;269,35;269,35;269,35;269,35;269,35
19/02/2018;357,99;357,36;357,36;357,36;359,21;369,65;357,36;359,21;307,34;300,14;300,14;357,36;357,36;357,36;369,65;369,65;369,65
20/02/2018;368,04;362,34;362,34;362,34;362,34;396,48;362,34;362,34;332,83;332,83;332,83;362,34;362,34;362,34;396,48;396,48;396,48
21/02/2018;354,91;348,28;348,28;349,56;349,56;402,52;349,56;349,56;316,68;316,68;316,68;348,28;348,28;348,28;402,52;402,52;402,52
22/02/2018;358,03;359,64;359,64;359,64;359,64;379,11;359,18;359,64;328,91;328,91;328,91;359,64;359,64;359,64;379,11;379,11;379,11
23/02/2018;332,54;332,07;332,07;332,07;332,07;333,78;332,70;332,70;312,33;312,33;312,33;332,07;332,07;332,07;333,78;333,78;333,78
24/02/2018;283,11;286,40;286,40;286,40;286,40;286,40;248,77;277,09;283,84;283,29;283,84;286,40;286,40;286,40;286,40;286,40;286,40
25/02/2018;286,75;287,18;287,18;287,18;287,18;287,18;280,48;287,18;287,18;287,18;287,18;287,18;287,18;287,18;287,18;287,18;287,18
26/02/2018;347,33;336,97;336,97;341,99;341,99;364,73;336,79;341,45;340,22;340,22;340,22;336,97;336,97;336,97;364,73;365,71;365,71
27/02/2018;334,03;337,67;337,67;350,50;350,50;382,14;304,06;349,79;304,78;304,78;304,78;337,67;337,67;337,67;382,14;382,14;382,14
28/02/2018;354,42;360,50;360,50;360,50;360,50;671,76;276,31;355,19;306,03;298,91;301,12;360,50;360,50;360,50;671,76;583,25;579,78
01/03/2018;487,16;693,50;693,50;693,50;693,50;723,29;248,24;693,50;690,22;300,59;302,50;693,50;693,50;693,50;708,08;708,08;708,08
02/03/2018;399,01;428,23;428,23;428,23;428,23;531,37;300,68;422,15;330,23;329,06;330,23;428,23;428,23;428,23;481,76;481,76;481,76
03/03/2018;314,86;322,42;322,42;322,42;322,42;322,42;286,77;322,42;311,76;309,23;311,76;322,42;322,42;322,42;322,42;322,42;322,42
04/03/2018;301,59;305,47;305,47;305,47;305,47;305,47;239,76;305,47;305,00;303,59;305,00;305,47;305,47;305,47;305,47;305,47;305,47
05/03/2018;393,77;387,92;387,92;387,92;387,92;411,12;360,32;387,92;387,28;387,00;387,28;387,92;387,92;387,92;411,12;411,12;411,12
06/03/2018;362,04;361,64;361,64;361,64;361,64;364,88;361,57;361,64;361,62;361,62;361,62;361,64;361,64;361,64;364,88;367,78;367,78
07/03/2018;350,96;351,26;351,26;351,26;351,26;351,26;351,26;351,26;350,60;350,60;350,60;351,26;351,26;351,26;351,26;360,45;360,45
08/03/2018;299,22;299,37;299,37;299,37;299,37;299,37;298,84;299,37;299,11;299,11;299,11;299,37;299,37;299,37;299,37;320,25;320,25
09/03/2018;300,00;300,19;300,19;300,19;301,91;300,19;300,19;301,91;300,19;300,19;300,19;300,19;300,19;300,19;300,19;341,69;341,69
10/03/2018;277,85;278,16;278,16;278,16;278,16;278,16;270,39;277,31;278,16;278,05;278,16;278,16;278,16;278,16;278,16;283,12;283,12
11/03/2018;270,29;270,23;270,23;270,23;270,23;270,23;226,17;247,91;271,02;271,02;271,02;271,02;271,02;270,23;270,23;270,23;270,23
12/03/2018;315,72;314,31;314,31;314,31;314,31;314,53;309,35;309,34;317,51;317,51;317,51;316,14;316,14;315,10;314,53;318,51;318,49
13/03/2018;311,45;317,29;317,29;317,29;317,29;318,20;308,21;317,29;314,56;306,24;306,24;317,70;317,70;317,29;318,20;319,19;319,19
14/03/2018;354,19;355,16;355,16;355,16;356,08;355,16;354,18;355,55;352,30;352,30;352,30;355,42;355,42;355,16;355,16;362,49;362,49
15/03/2018;302,39;340,25;340,25;340,25;340,25;343,51;188,59;301,94;340,25;287,78;296,45;340,25;340,25;340,25;343,51;347,41;347,41
16/03/2018;300,99;309,31;309,31;309,31;309,31;310,87;207,81;265,72;309,31;288,64;309,31;309,31;309,31;309,31;310,87;310,87;310,87
17/03/2018;280,74;282,86;282,86;282,86;282,86;282,86;20,34;94,95;283,09;283,09;283,09;283,09;283,09;282,86;282,86;282,86;282,86
18/03/2018;276,70;278,17;278,17;278,17;278,17;278,17;128,41;192,32;279,84;279,84;279,84;278,85;278,85;278,17;278,17;278,17;278,17
19/03/2018;316,15;312,91;312,91;312,91;314,44;312,91;311,98;316,04;317,73;317,68;317,73;316,93;316,93;313,75;312,91;314,44;314,44
20/03/2018;322,80;324,64;324,64;324,64;324,69;324,64;316,68;324,74;325,24;317,28;325,24;325,24;325,24;324,64;324,64;336,82;336,82
21/03/2018;315,84;314,42;314,42;314,42;324,56;314,42;314,73;324,56;314,79;314,79;314,79;314,57;314,57;314,42;314,37;335,84;335,84
22/03/2018;308,75;306,13;306,13;306,13;319,06;306,13;322,48;324,50;305,96;301,91;305,96;308,72;308,72;306,13;306,13;327,45;327,45
23/03/2018;347,61;351,92;351,92;351,92;351,92;353,51;351,92;351,92;346,88;331,06;331,54;351,92;351,92;351,92;352,77;364,45;364,45
24/03/2018;299,79;299,59;299,59;299,59;299,59;299,59;298,72;299,91;299,92;299,92;299,92;299,59;299,59;299,59;299,59;299,59;299,59
25/03/2018;296,49;295,75;295,75;295,75;295,75;295,75;295,75;296,28;297,04;297,04;297,04;295,75;295,75;295,75;295,75;295,75;295,75
26/03/2018;355,39;355,83;355,83;355,83;355,83;355,83;355,83;355,83;355,83;355,83;355,83;355,83;355,83;355,83;355,83;357,56;357,56
27/03/2018;341,82;343,59;343,59;343,59;343,59;345,01;332,44;338,34;342,96;335,55;342,96;343,59;343,59;343,59;345,01;348,68;348,68
28/03/2018;319,46;344,63;344,63;344,63;344,63;350,48;279,33;339,50;344,63;294,24;344,63;344,63;344,63;344,63;350,48;355,95;355,95
29/03/2018;302,97;304,48;304,48;304,48;304,48;305,28;267,05;271,26;304,68;302,21;304,68;304,48;304,48;304,48;305,28;307,74;307,74
30/03/2018;302,96;304,71;304,71;304,71;304,71;304,71;298,47;301,29;304,71;301,72;304,71;304,71;304,71;304,71;304,71;304,71;304,71
31/03/2018;297,17;297,87;297,87;297,87;297,87;297,87;259,38;259,38;297,87;297,87;297,87;297,87;297,87;297,87;297,87;297,87;297,87
01/04/2018;292,29;292,32;292,32;292,32;292,32;292,32;291,92;291,92;292,32;292,32;292,32;292,32;292,32;292,32;292,32;292,32;292,32
02/04/2018;295,47;293,77;293,77;293,77;293,77;293,77;293,77;293,77;297,05;297,05;297,05;293,77;293,77;293,77;293,77;293,77;293,77
03/04/2018;321,45;326,79;326,79;326,79;327,21;326,79;306,58;321,18;323,94;312,61;323,94;326,81;326,81;326,79;326,79;339,32;339,32
04/04/2018;318,00;316,62;316,62;316,62;316,62;322,33;283,38;283,38;316,19;313,49;316,19;321,38;321,38;316,62;322,33;326,71;326,71
